Date,Open,High,Low,Close,Volume,Change,Price-Change,Amplitude
16/5/2000,6247.700195,6349.100098,6247.700195,6318.399902,982524000,70.69970703,0.011316117,0.016229956
17/5/2000,6318.399902,6321.600098,6189.200195,6196.200195,700311000,-122.199707,-0.019340293,0.020954657
18/5/2000,6196.200195,6256,6196.200195,6233,711940000,36.79980469,0.005939092,0.009651045
19/5/2000,6232.899902,6237.600098,6039.100098,6045.399902,937082000,-187.6000977,-0.030097882,0.031846623
22/5/2000,6045.399902,6130.100098,5991.899902,6035.5,897441000,-9.899902344,-0.001637593,0.022860389
23/5/2000,6035.5,6128.5,6026.100098,6086.799805,819943000,51.29980469,0.008499678,0.016966267
24/5/2000,6086.799805,6127.100098,5997.600098,6118.600098,1074882000,31.80029297,0.005224468,0.021275548
25/5/2000,6118.600098,6234.600098,6118.600098,6231.100098,1032468000,112.5,0.018386559,0.018958585
26/5/2000,6231.100098,6252.200195,6153.200195,6216.899902,778243000,-14.20019531,-0.002278923,0.015888045
30/5/2000,6216.899902,6379.700195,6216.899902,6359.600098,979689000,142.7001953,0.022953594,0.026186732
31/5/2000,6359.600098,6419.899902,6325.5,6359.399902,1273734000,-0.200195313,-3.15E-05,0.014843685
1/6/2000,6359.299805,6476.899902,6344.399902,6470.5,794675000,111.1000977,0.017470217,0.020835299
2/6/2000,6470.5,6634.899902,6445.5,6626.399902,1324934000,155.8999023,0.02409395,0.029271293
5/6/2000,6626.399902,6635.700195,6540.399902,6546.700195,778810000,-79.69970703,-0.012027603,0.014381911
6/6/2000,6546.700195,6619.600098,6490,6546.799805,1011856000,0.099609375,1.52E-05,0.019796248
7/6/2000,6546.799805,6546.799805,6476.399902,6503.799805,786068000,-43,-0.006568095,0.010753331
8/6/2000,6503.799805,6592.700195,6469.799805,6496.600098,764418000,-7.199707031,-0.001107,0.018896706
9/6/2000,6496.600098,6512.399902,6438.100098,6443.799805,661766000,-52.80029297,-0.008127373,0.011436721
12/6/2000,6443.799805,6479.799805,6430.899902,6430.899902,452014000,-12.89990234,-0.002001909,0.007588675
13/6/2000,6430.899902,6515.200195,6430.799805,6447.100098,769796000,16.20019531,0.002519118,0.013124196
14/6/2000,6447.100098,6551.700195,6447.100098,6536.299805,855813000,89.19970703,0.013835632,0.016224364
15/6/2000,6536.299805,6566.200195,6490.799805,6490.799805,931717000,-45.5,-0.006961125,0.011535638
16/6/2000,6490.799805,6566.700195,6474.899902,6526,810817000,35.20019531,0.005423091,0.01414314
19/6/2000,6490.799805,6515.700195,6467.5,6490.200195,558986000,-35.79980469,-0.005485719,0.007385871
20/6/2000,6490.200195,6536.5,6490.200195,6526.899902,615307000,36.69970703,0.005654634,0.007133802
21/6/2000,6526.899902,6532.5,6429,6477.799805,671106000,-49.10009766,-0.007522729,0.015857452
22/6/2000,6477.799805,6530.700195,6413.799805,6413.799805,871871000,-64,-0.009879898,0.018046311
23/6/2000,6413.799805,6413.799805,6367.799805,6391.5,818585000,-22.29980469,-0.003476848,0.007172036
26/6/2000,6391.5,6447.700195,6369,6405.200195,579590000,13.70019531,0.002143502,0.012313259
27/6/2000,6405.200195,6428.399902,6365.600098,6375.299805,792112000,-29.90039063,-0.004668143,0.009804503
28/6/2000,6375.299805,6394.399902,6310.799805,6313.5,811699000,-61.79980469,-0.009693631,0.013113124
29/6/2000,6313.5,6321,6221,6239,1070826000,-74.5,-0.011800111,0.015839075
30/6/2000,6239,6323.200195,6239,6312.700195,925225000,73.70019531,0.011812822,0.013495784
3/7/2000,6312.700195,6470.399902,6309.299805,6470.399902,742606000,157.699707,0.02498134,0.025519998
4/7/2000,6470.399902,6470.399902,6405.200195,6417,661401000,-53.39990234,-0.008252952,0.010076612
5/7/2000,6417,6446,6345.5,6382.5,921487000,-34.5,-0.005376344,0.015661524
6/7/2000,6382.5,6438.399902,6341.399902,6419.600098,829021000,37.10009766,0.005812785,0.015197807
7/7/2000,6419.600098,6502.600098,6390.200195,6497.5,793281000,77.89990234,0.012134697,0.017508864
10/7/2000,6497.5,6515.200195,6463.299805,6466.200195,610792000,-31.29980469,-0.004817207,0.007987748
11/7/2000,6466.200195,6510.100098,6450.5,6475.799805,800588000,9.599609375,0.001484583,0.009217175
